MUNICIPIO,PERIODO,CULTIVO,AREA SEMABRADA (ha),AREA COSECHADA (ha),RENDIMIENTO (t/ha),PRODUCCION (t)
TAMALAMEQUE,2018B,ARROZ RIEGO,800,750,5.2,3900
TAMALAMEQUE,2018B,MAIZ TRADICIONAL,300,200,1,200
VALLEDUPAR,2018A,PATILLA,20,15,10,150
VALLEDUPAR,2018A,,2500,2000,5.5,11000
VALLEDUPAR,2018A,TOMATE,15,15,10,150
VALLEDUPAR,2018A,FRIJOL,25,20,0.6,12
VALLEDUPAR,2018A,MAIZ TRADICIONAL,900,600,0.8,480
VALLEDUPAR,2018A,ARROZ RIEGO,2500,2000,5.5,11000
VALLEDUPAR,2018A,MELON,5,5,35,175
VALLEDUPAR,2018B,PATILLA,25,25,13,325
VALLEDUPAR,2018B,ARROZ RIEGO,2200,2100,5.3,11130
VALLEDUPAR,2018B,MAIZ TRADICIONAL,1500,1300,1.2,1560
